n,workers,seq_bfs,mp_bfs
2000,2,0.0003017600160092115,0.1390897000208497
2000,4,0.0003017600160092115,0.2231221000198275
5000,2,0.0016868399921804666,0.3590939200017601
5000,4,0.0016868399921804666,0.43570940000936387
10000,2,0.009989000018686056,0.7079750199802219
10000,4,0.009989000018686056,0.4841345600318164
20000,2,0.01758457995019853,0.7452003601007163
20000,4,0.01758457995019853,0.9701974600087852
