n,bfs_time,components_time
1000,3.8400059565901756e-05,0.0005286999512463808
2000,0.00040300004184246063,0.0009085000492632389
5000,0.0015285999979823828,0.0016973998863250017
10000,0.0052673001773655415,0.004132100148126483
